Sprachname,Sprachkürzel,Kürzel eingebunden
"Sorbisch, Ober-",{{hsb}},Obersorbisch
Sotho,{{st}},Sesotho
Spanisch,{{es}},Spanisch
Sranan Tongo,{{srn}},Sranantongo
Suaheli,{{sw}},Suaheli
Süd-Ndebele,{{nr}},Süd-Ndebele
Südaserbaidschanisch,{{az}},Aserbaidschanisch
Sumerisch,{{sux}},Sumerisch
Sundanesisch,{{su}},Sundanesisch
Surinamisch,{{srn}},Sranantongo
Swanisch,{{sva}},Swanisch
Swahili,{{sw}},Suaheli
Swasi,{{ss}},Siswati
Syrisch,{{syr}},Syrisch
,,
Taa-Sprache,{{nmn}},ǃXóõ
Tadschikisch,{{tg}},Tadschikisch
Tagalog,{{tl}},Tagalog
Tahitianisch,{{ty}},Tahitianisch
Talalog,{{tl}},Tagalog
Tamil (Tamilisch),{{ta}},Tamil
Taroko,{{trv}},Taroko
Tatarisch,{{tt}},Tatarisch
Telugu,{{te}},Telugu
Tetum,{{tet}},Tetum
Thailändisch,{{th}},Thai
Tibetisch,{{bo}},Tibetisch
Tigrinya,{{ti}},Tigrinya
Tok Pisin,{{tpi}},Tok Pisin
Toki Pona,{{tokipona}},Toki Pona
Tongaisch,{{to}},Tongaisch
Tschechisch,{{cs}},Tschechisch
Tscherkessisch (Adygeisch),{{ady}},Adygeisch
Tscherkessisch (Kabardisch),{{kbd}},Kabardinisch
Tscherokesisch,{{chr}},Cherokee
Tschetschenisch,{{ce}},Tschetschenisch
Tschuktschisch,{{ckt}},Tschuktschisch
Tschuwaschisch,{{cv}},Tschuwaschisch
Tsonga,{{ts}},Xitsonga
Tswana,{{tn}},Setswana
Tupí,{{tpw}},Tupí
Tupinambá,{{tpn}},Tupinambá
Türkisch,{{tr}},Türkisch
Turkmenisch,{{tk}},Turkmenisch
Tuvaluisch,{{tvl}},Tuvaluisch
Tuwinisch,{{tyv}},Tuwinisch
,,
Udmurtisch,{{udm}},Udmurtisch
Uigurisch,{{ug}},Uigurisch
Ukrainisch,{{uk}},Ukrainisch
Ungarisch,{{hu}},Ungarisch
Urartäisch,{{xur}},Urartäisch
"Urgermanisch (Germanisch, Protogermanisch)",{{gem}},Urgermanisch
Urdu,{{ur}},Urdu
Usbekisch,{{uz}},Usbekisch
,,
Venda,{{ve}},Tshivenda
Venetisch,{{xve}},Venetisch
Venezianisch,{{vec}},Venezianisch
Vietnamesisch,{{vi}},Vietnamesisch
Volapük,{{vo}},Volapük
Võro,{{vro}},Võro
,,
Walisisch,{{cy}},Walisisch
Wallonisch,{{wa}},Wallonisch
Waray-Waray,{{war}},Waray
Weißrussisch,{{be}},Weißrussisch
Wepsisch,{{vep}},Wepsisch
West-Apache,{{apw}},West-Apache
Westfriesisch,{{fy}},Westfriesisch
Wolof,{{wo}},Wolof
Wotisch,{{vot}},Wotisch
,,
Xhosa,{{xh}},isiXhosa
Xitsonga,{{ts}},Xitsonga
ǃXóõ,{{nmn}},ǃXóõ
,,
Yoruba,{{yo}},Yoruba
Yukatekisch,{{yua}},Yukatekisch
,,
Zazaisch,{{zza}},Zazaki
Zazaisch (Dimilki),{{diq}},Dimli
Zentralbikolano,{{bcl}},Zentral-Bikolano
Zhuang,{{za}},Zhuang
Zulu,{{zu}},isiZulu
